profile,question,expected_chunk_id,expected_title,first_relevant_rank,reciprocal_rank,average_precision,latency_ms,relevant_total,top1_chunk_id,top1_title,top1_score,unique_pages_at_max_k,best_relevant_score,best_non_relevant_score,score_margin,hit@1,precision@1,recall@1,ndcg@1,relevant_chunks@1,unique_pages@1,hit@3,precision@3,recall@3,ndcg@3,relevant_chunks@3,unique_pages@3,hit@5,precision@5,recall@5,ndcg@5,relevant_chunks@5,unique_pages@5,hit@10,precision@10,recall@10,ndcg@10,relevant_chunks@10,unique_pages@10,hit@20,precision@20,recall@20,ndcg@20,relevant_chunks@20,unique_pages@20
dense,Какие данные в МКАБ пациента должны быть заполнены для успешного формирования СЭМД «Медицинское заключение по результатам предварительного (периодического) медицинского осмотра (обследования)»?,655,"Правильное оформление и отправка СЭМД: СЭМД (194)""Медицинское заключение по результатам предварительного (периодического) медицинского осмотра (обследования)""",1,1.0,1.0,963.3626100000043,1,655,"Правильное оформление и отправка СЭМД: СЭМД (194)""Медицинское заключение по результатам предварительного (периодического) медицинского осмотра (обследования)""",0.7633043,4,0.7633043,0.7577976,0.0055067000000000865,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,2,1.0,0.1,1.0,1.0,1,3,1.0,0.05,1.0,1.0,1,4
dense,Что происходит при снятии флажка у блока «Слуховой паспорт» в шаблоне осмотра отоларинголога и как вводятся результаты исследований?,115,"WEB Поликлиника: Работа с шаблонами: Шаблон ""Осмотр отоларинголога (20)""",1,1.0,1.0,848.5646520000074,1,115,"Поликлиника: Работа с шаблонами: Шаблон ""Осмотр отоларинголога (20)""",0.73220867,11,0.73220867,0.50872684,0.22348183,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,3,1.0,0.1,1.0,1.0,1,6,1.0,0.05,1.0,1.0,1,11
dense,Что открывается пользователю при работе с медицинскими записями после выбора соответствующего действия?,26,WEB Поликлиника: Врач поликлиники,,0.0,0.0,846.6060150000061,1,283,Стационар: Врач стационара,0.6351527,8,,0.6351527,,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0,0,8
dense,"Что нужно сделать после заполнения формы с результатами медосмотра, чтобы СЭМД был подписан и отправлен в РЭМД?",760,"Правильное оформление и отправка СЭМД: СЭМД (63)""Медицинское заключение об отсутствии медицинских противопоказаний к владению оружием""",,0.0,0.0,863.3483299999938,1,680,"Правильное оформление и отправка СЭМД: СЭМД (204)""Медицинское заключение""",0.75125355,6,,0.75125355,,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,6
dense,Как оформить перевод пациента в реанимацию и как закрыть реанимационный период в МКСБ?,282,WEB Стационар: Врач стационара,1,1.0,1.0,830.5337139999978,1,282,Стационар: Врач стационара,0.73120236,13,0.73120236,0.57545626,0.1557461,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,3,1.0,0.2,1.0,1.0,1,3,1.0,0.1,1.0,1.0,1,7,1.0,0.05,1.0,1.0,1,13
dense,Как в модуле электронного родового сертификата перейти к отчётам и сформировать файл отчёта за период?,251,WEB Родовспоможение: Родовые сертификаты,1,1.0,1.0,827.7893619999901,1,251,Родовспоможение: Родовые сертификаты,0.7091063,4,0.7091063,0.63381445,0.07529184999999994,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,1,1.0,0.1,1.0,1.0,1,1,1.0,0.05,1.0,1.0,1,4
dense,При каких условиях можно добавить сведения о посещении в ЭРС и какие ограничения действуют для полей «Срок беременности» и «Дата следующего посещения»?,229,WEB Родовспоможение: Родовые сертификаты,1,1.0,1.0,830.4595299999988,1,229,Родовспоможение: Родовые сертификаты,0.60128295,7,0.60128295,0.5730501,0.028232849999999976,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,2,1.0,0.2,1.0,1.0,1,4,1.0,0.1,1.0,1.0,1,5,1.0,0.05,1.0,1.0,1,7
dense,Какие требования предъявляются к датам оказания услуги в ТАП и к порядку отражения первичного и повторного приёма?,143,WEB Поликлиника: Формирование ТАП для статистов,1,1.0,1.0,890.4641669999904,1,143,Поликлиника: Формирование ТАП для статистов,0.59446776,7,0.59446776,0.55196446,0.04250330000000002,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,3,1.0,0.1,1.0,1.0,1,4,1.0,0.05,1.0,1.0,1,7
dense,"Как распечатать водительскую справку после того, как карта мероприятий подписана и стала недоступна для редактирования?",755,"Правильное оформление и отправка СЭМД: СЭМД (4)""Медицинская справка о допуске к управлению транспортными средствами""""",1,1.0,1.0,926.9064570000012,1,755,"Правильное оформление и отправка СЭМД: СЭМД (4)""Медицинская справка о допуске к управлению транспортными средствами""""",0.57250756,12,0.57250756,0.4990359,0.07347166000000005,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,2,1.0,0.2,1.0,1.0,1,4,1.0,0.1,1.0,1.0,1,6,1.0,0.05,1.0,1.0,1,12
dense,Где просматривать статистику по открытым и закрытым талонам амбулаторного пациента и какие фильтры при этом доступны?,105,"WEB Поликлиника: Просмотр статистических данных по ""Случаям лечения""",1,1.0,1.0,854.5137859999983,1,105,"Поликлиника: Просмотр статистических данных по ""Случаям лечения""",0.81621784,9,0.81621784,0.6731831,0.14303473999999994,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,3,1.0,0.2,1.0,1.0,1,5,1.0,0.1,1.0,1.0,1,7,1.0,0.05,1.0,1.0,1,9
dense,"Как открепить прикреплённый файл, в каких форматах доступна печать документа и как распечатать справку «Медицинское заключение»?",693,"Правильное оформление и отправка СЭМД: СЭМД (204)""Медицинское заключение""",3,0.3333333333333333,0.3333333333333333,869.702174000011,1,679,"Правильное оформление и отправка СЭМД: СЭМД (204)""Медицинское заключение""",0.66325665,7,0.6288147,0.66325665,-0.034441950000000054,0.0,0.0,0.0,0.0,0,1,1.0,0.3333333333333333,1.0,0.5,1,1,1.0,0.2,1.0,0.5,1,1,1.0,0.1,1.0,0.5,1,2,1.0,0.05,1.0,0.5,1,7
dense,"Что такое карта мероприятий, как с ней работать и что оформляется на заключительном мероприятии у терапевта или врача общей практики?",759,"Правильное оформление и отправка СЭМД: СЭМД (63)""Медицинское заключение об отсутствии медицинских противопоказаний к владению оружием""",6,0.16666666666666666,0.16666666666666666,848.432270999993,1,9,Диспансеризация,0.6521677,12,0.523015,0.6521677,-0.1291527,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,2,1.0,0.1,1.0,0.3562071871080222,1,6,1.0,0.05,1.0,0.3562071871080222,1,12
dense,"Как сформировать, подписать и отправить в РЭМД СЭМД «Медицинское заключение о допуске к выполнению работ на высоте» (редакция 1)?",559,"Правильное оформление и отправка СЭМД: СЭМД (101)""Медицинское заключение о допуске к выполнению работ на высоте верхолазных работ работ связанных с подъемом на высоту а также по обслуживанию подъемных сооружений""",1,1.0,1.0,870.5798909999913,1,559,"Правильное оформление и отправка СЭМД: СЭМД (101)""Медицинское заключение о допуске к выполнению работ на высоте верхолазных работ работ связанных с подъемом на высоту а также по обслуживанию подъемных сооружений""",0.8697013,6,0.8697013,0.8163676,0.05333370000000004,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,2,1.0,0.1,1.0,1.0,1,4,1.0,0.05,1.0,1.0,1,6
dense,Какой структурированный электронный медицинский документ можно сформировать и отправить в отчётных формах по иммунопрофилактике в описанном блоке?,90,WEB Поликлиника: Иммунопрофилактика,1,1.0,1.0,868.6819549999996,1,90,Поликлиника: Иммунопрофилактика,0.76464653,6,0.76464653,0.7185722,0.04607433000000005,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,2,1.0,0.1,1.0,1.0,1,3,1.0,0.05,1.0,1.0,1,6
dense,Какие системные настройки в разделе администрирования должен проверить или установить администратор перед работой с рецептами?,605,"Правильное оформление и отправка СЭМД: СЭМД (148)""Рецепт на лекарственный препарат (CDA)""",7,0.14285714285714285,0.14285714285714285,808.8310199999995,1,415,Администрирование МИС: Настройки для отправки коммерческих и льготных рецептов,0.62222064,8,0.51629984,0.62222064,-0.10592080000000004,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0,2,1.0,0.1,1.0,0.3333333333333333,1,3,1.0,0.05,1.0,0.3333333333333333,1,8
dense,"Как оформить электронное свидетельство о рождении (галочки по пунктам СР), подтянуть данные из МКАБ и что делать со «старым» или ручным адресом при регистрации?",433,Демография: Свидетельство о рождении,1,1.0,1.0,853.6375359999937,1,433,Демография: Свидетельство о рождении,0.72010136,6,0.72010136,0.55890965,0.16119171,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,2,1.0,0.2,1.0,1.0,1,4,1.0,0.1,1.0,1.0,1,4,1.0,0.05,1.0,1.0,1,6
dense,Куда попадает информация после записи пациента на приём и как вернуться в шаблон осмотра врача 2.0?,33,WEB Поликлиника: Врач поликлиники,16,0.0625,0.0625,823.624726999995,1,29,Поликлиника: Врач поликлиники,0.6549802,8,0.54922855,0.6549802,-0.10575164999999997,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0,4,1.0,0.05,1.0,0.24465054211822604,1,8
dense,Как в шаблоне №200 МЗ добавить в медицинскую запись результаты ранее проведённых исследований?,31,WEB Поликлиника: Врач поликлиники,2,0.5,0.5,833.8307230000055,1,375,Стационар: Формы приказа 530н: Работа с шаблонами осмотров АВ,0.7044749,9,0.70059484,0.7044749,-0.003880059999999963,0.0,0.0,0.0,0.0,0,1,1.0,0.3333333333333333,1.0,0.6309297535714575,1,3,1.0,0.2,1.0,0.6309297535714575,1,3,1.0,0.1,1.0,0.6309297535714575,1,5,1.0,0.05,1.0,0.6309297535714575,1,9
dense,Какая информация заполняется на вкладке «Дополнительная информация» листка нетрудоспособности в части освидетельствования в бюро МСЭ?,96,WEB Поликлиника: Лист нетрудоспособности,1,1.0,1.0,884.1286890000077,1,96,Поликлиника: Лист нетрудоспособности,0.7206862,5,0.7206862,0.65852416,0.06216204000000003,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,2,1.0,0.2,1.0,1.0,1,2,1.0,0.1,1.0,1.0,1,3,1.0,0.05,1.0,1.0,1,5
dense,"Что необходимо сделать, чтобы открыть и сохранить карту беременной, и как затем распечатать нужную форму?",224,WEB Родовспоможение: Карта беременной,1,1.0,1.0,822.1822989999907,1,224,Родовспоможение: Карта беременной,0.7967855,11,0.7967855,0.68414164,0.11264386000000004,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,1,1.0,0.1,1.0,1.0,1,3,1.0,0.05,1.0,1.0,1,11
dense,Что отображается при нажатии на область с именем пользователя в правом верхнем углу экрана модуля родовых сертификатов?,239,WEB Родовспоможение: Родовые сертификаты,1,1.0,1.0,822.3683030000046,1,239,Родовспоможение: Родовые сертификаты,0.6673825,4,0.6673825,0.56112266,0.10625984,1.0,1.0,1.0,1.0,1,1,1.0,0.3333333333333333,1.0,1.0,1,1,1.0,0.2,1.0,1.0,1,1,1.0,0.1,1.0,1.0,1,2,1.0,0.05,1.0,1.0,1,4
